Quality	Count	sample
33	6968.0	BC6_run2
34	10013.0	BC6_run2
35	17156.0	BC6_run2
36	35924.0	BC6_run2
37	93300.0	BC6_run2
38	283152.0	BC6_run2
39	2198108.0	BC6_run2
15	3.0	BC7_run3
16	93.0	BC7_run3
17	187.0	BC7_run3
18	248.0	BC7_run3
19	503.0	BC7_run3
20	1274.0	BC7_run3
21	2057.0	BC7_run3
22	2667.0	BC7_run3
23	3337.0	BC7_run3
24	4364.0	BC7_run3
25	5872.0	BC7_run3
26	7561.0	BC7_run3
27	9172.0	BC7_run3
28	11053.0	BC7_run3
29	13465.0	BC7_run3
30	16379.0	BC7_run3
31	19821.0	BC7_run3
32	24669.0	BC7_run3
33	31710.0	BC7_run3
34	42219.0	BC7_run3
35	60933.0	BC7_run3
36	98380.0	BC7_run3
37	205670.0	BC7_run3
38	1074499.0	BC7_run3
39	8952927.0	BC7_run3
12	1.0	BC9_run3
13	0.0	BC9_run3
14	0.0	BC9_run3
15	7.0	BC9_run3
16	229.0	BC9_run3
17	397.0	BC9_run3
18	592.0	BC9_run3
19	1373.0	BC9_run3
20	1960.0	BC9_run3
21	2593.0	BC9_run3
22	2825.0	BC9_run3
23	3145.0	BC9_run3
24	3563.0	BC9_run3
25	4392.0	BC9_run3
26	5698.0	BC9_run3
27	7692.0	BC9_run3
28	10602.0	BC9_run3
29	14595.0	BC9_run3
30	19998.0	BC9_run3
31	27750.0	BC9_run3
32	39690.0	BC9_run3
33	59830.0	BC9_run3
34	95893.0	BC9_run3
35	167845.0	BC9_run3
36	312673.0	BC9_run3
37	513294.0	BC9_run3
38	531815.0	BC9_run3
39	1772345.0	BC9_run3
13	1.0	BC10_run3
14	0.0	BC10_run3
15	5.0	BC10_run3
16	90.0	BC10_run3
17	211.0	BC10_run3
18	322.0	BC10_run3
19	1020.0	BC10_run3
20	2259.0	BC10_run3
21	3763.0	BC10_run3
22	4565.0	BC10_run3
23	5618.0	BC10_run3
24	7274.0	BC10_run3
25	9470.0	BC10_run3
26	11699.0	BC10_run3
27	14756.0	BC10_run3
28	18273.0	BC10_run3
29	23186.0	BC10_run3
30	28487.0	BC10_run3
31	35572.0	BC10_run3
32	44749.0	BC10_run3
33	58734.0	BC10_run3
34	79945.0	BC10_run3
35	118701.0	BC10_run3
36	195245.0	BC10_run3
37	419357.0	BC10_run3
38	1924341.0	BC10_run3
39	11353505.0	BC10_run3
15	6.0	BC9_run1
16	147.0	BC9_run1
17	255.0	BC9_run1
18	476.0	BC9_run1
