Length	Count	sample
54	3629.0	BC11_run1
56	3468.0	BC11_run1
58	3868.0	BC11_run1
60	3967.0	BC11_run1
62	4636.0	BC11_run1
64	12027.0	BC11_run1
66	12099.0	BC11_run1
68	60493.0	BC11_run1
70	109918.0	BC11_run1
72	327323.0	BC11_run1
74	4355944.0	BC11_run1
24	15365.0	BC6_run2
26	23272.0	BC6_run2
28	19568.0	BC6_run2
30	13679.0	BC6_run2
32	10793.0	BC6_run2
34	12599.0	BC6_run2
36	14757.0	BC6_run2
38	15471.0	BC6_run2
40	13460.0	BC6_run2
42	14600.0	BC6_run2
44	24032.0	BC6_run2
46	25689.0	BC6_run2
48	17684.0	BC6_run2
50	19988.0	BC6_run2
52	160495.0	BC6_run2
54	20178.0	BC6_run2
56	23382.0	BC6_run2
58	150033.0	BC6_run2
60	13918.0	BC6_run2
62	18522.0	BC6_run2
64	12312.0	BC6_run2
66	21068.0	BC6_run2
68	41866.0	BC6_run2
70	51985.0	BC6_run2
72	150579.0	BC6_run2
74	1767791.0	BC6_run2
24	10875.0	BC7_run3
26	15840.0	BC7_run3
28	16183.0	BC7_run3
30	13983.0	BC7_run3
32	13685.0	BC7_run3
34	12232.0	BC7_run3
36	11627.0	BC7_run3
38	11563.0	BC7_run3
40	7750.0	BC7_run3
42	7210.0	BC7_run3
44	9488.0	BC7_run3
46	9940.0	BC7_run3
48	8864.0	BC7_run3
50	11255.0	BC7_run3
52	21165.0	BC7_run3
54	12304.0	BC7_run3
56	11769.0	BC7_run3
58	20660.0	BC7_run3
60	11649.0	BC7_run3
62	13537.0	BC7_run3
64	19364.0	BC7_run3
66	27798.0	BC7_run3
68	95959.0	BC7_run3
70	232043.0	BC7_run3
72	654850.0	BC7_run3
74	9307470.0	BC7_run3
24	3947.0	BC9_run3
26	4434.0	BC9_run3
28	3862.0	BC9_run3
30	2501.0	BC9_run3
32	4493.0	BC9_run3
34	1647.0	BC9_run3
36	3899.0	BC9_run3
38	2703.0	BC9_run3
40	2559.0	BC9_run3
42	2087.0	BC9_run3
44	2859.0	BC9_run3
46	6690.0	BC9_run3
48	2940.0	BC9_run3
50	25962.0	BC9_run3
52	627025.0	BC9_run3
54	5897.0	BC9_run3
56	38360.0	BC9_run3
58	631402.0	BC9_run3
60	4997.0	BC9_run3
62	6839.0	BC9_run3
64	4144.0	BC9_run3
66	3229.0	BC9_run3
68	17535.0	BC9_run3
70	47821.0	BC9_run3
72	150350.0	BC9_run3
74	1992615.0	BC9_run3
24	8296.0	BC10_run3
26	12509.0	BC10_run3
28	12282.0	BC10_run3
30	13801.0	BC10_run3
32	14778.0	BC10_run3
34	12511.0	BC10_run3
36	13362.0	BC10_run3
38	13908.0	BC10_run3
40	8377.0	BC10_run3
42	8783.0	BC10_run3
44	12367.0	BC10_run3
46	16984.0	BC10_run3
48	11702.0	BC10_run3
50	12332.0	BC10_run3
52	17286.0	BC10_run3
54	16755.0	BC10_run3
56	16739.0	BC10_run3
58	19586.0	BC10_run3
60	18204.0	BC10_run3
62	19582.0	BC10_run3
64	34172.0	BC10_run3
