Base	N-Count	sample
61	0.00104072599518	BC12_run3
62	0.00555022610723	BC12_run3
63	0.00571594505887	BC12_run3
64	0.000401689851822	BC12_run3
65	0.00343769136522	BC12_run3
66	0.00391217662097	BC12_run3
67	0.00127685021597	BC12_run3
68	0.000490357174243	BC12_run3
69	0.00214310165503	BC12_run3
70	0.00388476142453	BC12_run3
71	0.000362251583529	BC12_run3
72	3.98935003116e-05	BC12_run3
73	0.000696856715217	BC12_run3
74	0.0	BC12_run3
75	0.0	BC12_run3
1	0.0170879381293	BC5_run1
2	0.00562702078832	BC5_run1
3	0.0767095333938	BC5_run1
4	0.0110678533888	BC5_run1
5	0.00395132709768	BC5_run1
6	0.0131366110316	BC5_run1
7	0.00492364318978	BC5_run1
8	0.00781990388966	BC5_run1
9	0.00494433076621	BC5_run1
10	0.00566839594118	BC5_run1
11	0.00355826314556	BC5_run1
12	0.00372376375698	BC5_run1
13	0.0048615804605	BC5_run1
14	0.0042616407441	BC5_run1
15	0.0195704473006	BC5_run1
16	0.00322726192272	BC5_run1
17	0.0129297352673	BC5_run1
18	0.0023170085599	BC5_run1
19	0.00204807006634	BC5_run1
20	0.00196531976063	BC5_run1
21	0.0035168879927	BC5_run1
22	0.00196531976063	BC5_run1
23	0.00339276253414	BC5_run1
24	0.003289324652	BC5_run1
25	0.000496501834264	BC5_run1
26	0.000228542507556	BC5_run1
27	0.0	BC5_run1
28	0.0	BC5_run1
29	4.1877563823e-05	BC5_run1
30	0.00172190770575	BC5_run1
31	0.000378757830029	BC5_run1
32	4.2176510383e-05	BC5_run1
33	0.000295852861383	BC5_run1
34	0.000508295488263	BC5_run1
35	0.000127297615885	BC5_run1
36	0.00104125317582	BC5_run1
37	0.000170290012406	BC5_run1
38	0.000788888021823	BC5_run1
39	0.000149551782625	BC5_run1
40	0.000706356026983	BC5_run1
41	0.00100695721739	BC5_run1
42	0.00167230067623	BC5_run1
43	0.000278922193152	BC5_run1
44	0.00201823323433	BC5_run1
45	0.00262175584576	BC5_run1
46	0.00266703087411	BC5_run1
47	0.00318661827026	BC5_run1
48	0.00939730715422	BC5_run1
49	0.00662334381346	BC5_run1
50	0.00684626929077	BC5_run1
51	0.00603295681052	BC5_run1
52	0.00599733519128	BC5_run1
53	0.00334393258632	BC5_run1
54	0.00761077041437	BC5_run1
55	0.0104726587403	BC5_run1
56	0.00689252632029	BC5_run1
57	0.00974485734818	BC5_run1
58	0.0101460883659	BC5_run1
59	0.00315673034639	BC5_run1
60	0.00686747635602	BC5_run1
61	0.00454562822558	BC5_run1
62	0.0116690063281	BC5_run1
63	0.00481734137309	BC5_run1
64	0.00464489144492	BC5_run1
65	0.00136645502776	BC5_run1
66	0.00308966130912	BC5_run1
67	0.00331383399768	BC5_run1
68	0.00239092828676	BC5_run1
69	0.00226623406776	BC5_run1
70	0.00089460781847	BC5_run1
71	0.000427554203184	BC5_run1
72	9.16721364375e-05	BC5_run1
73	0.000809612901991	BC5_run1
74	0.0	BC5_run1
75	0.0	BC5_run1
1	0.0	BC6_run3
2	0.000619023840672	BC6_run3
3	0.000412682560448	BC6_run3
4	0.00206341280224	BC6_run3
5	0.0833618772104	BC6_run3
6	0.00288877792313	BC6_run3
7	0.00392048432425	BC6_run3
8	0.00247609536269	BC6_run3
9	0.0121741355332	BC6_run3
10	0.00206341280224	BC6_run3
11	0.00969804017052	BC6_run3
12	0.00619023840672	BC6_run3
13	0.0270307077093	BC6_run3
14	0.0123804768134	BC6_run3
15	0.0123804768134	BC6_run3
16	0.0125868180937	BC6_run3
17	0.00969804017052	BC6_run3
18	0.0132058419343	BC6_run3
19	0.00722194480783	BC6_run3
20	0.00763462736828	BC6_run3
21	0.00309511920336	BC6_run3
22	0.0105234052914	BC6_run3
